Date,DateStr,MappedEventLabel,Cluster,ClusterLabel,DC_relevance,DC_COPPER_relevance,SOLVPN_to_COPPER,COPPER_to_SOLVPN
2020-10-22,2020-10-22,미국 경기지표 개선과 달러 반등으로 금·은 약세,0,Transient Shock,0.21506832427568237,0.038821176243179836,0.182607210418984,0.1673278733564789
2020-10-28,2020-10-28,유럽·미국의 코로나 재확산과 봉쇄 우려,0,Transient Shock,0.21506832427568237,0.038821176243179836,0.182607210418984,0.1673278733564789
2020-11-04,2020-11-04,미국 대선 개표,0,Transient Shock,0.21506832427568237,0.038821176243179836,0.182607210418984,0.1673278733564789
2020-11-09,2020-11-09,"코로나 백신 발표로 인한 경기 회복 기대, 금/은 안전자산 가격 급락",0,Transient Shock,0.21506832427568237,0.038821176243179836,0.182607210418984,0.1673278733564789
2021-02-01,2021-02-01,실버 스퀴즈 발생,2,Minor / Local,0.21506832427568237,0.038821176243179836,0.182607210418984,0.1673278733564789
2021-06-17,2021-06-17,FOMC 이후 달러 급등과 조기 긴축 기대 강화,2,Minor / Local,0.2151508228886305,0.02043585969660029,0.18238542780752653,0.0015294093824319353
2022-03-01,2022-03-01,러시아-우크라이나 전쟁 초기 충격,2,Minor / Local,0.26177904682088526,0.031092558992244404,0.23318504105545504,0.045326496214223896
2022-03-02,2022-03-02,"러-우 전쟁 초기, 안전자산 확대",3,Structural Persistent,0.2636871551804251,0.03250899570912411,0.24065330463313958,0.05044012035403023
2022-03-07,2022-03-07,전쟁 충격이 더 커지며 LME 금속시장 전반 영향,2,Minor / Local,0.24772324812530525,0.030170332984160685,0.21950168965596445,0.0503296436435792
2022-06-13,2022-06-13,미국 CPI 충격 직후 인플레이션과 긴축 우려,2,Minor / Local,0.36767202410307703,0.0525692607327557,0.4528175608335107,0.019133861881523856
2022-07-28,2022-07-28,Recession fear,2,Minor / Local,0.4134578169985564,0.06712174849512628,0.5816932575732382,0.019240834197323888
2022-09-13,2022-09-13,미국 CPI 쇼크 (인플레이션 재상승),1,Delayed Response,0.40294922486373175,0.07193250961630865,0.6293700864984608,0.004667585941879421
2022-11-10,2022-11-10,미국 CPI가 예상보다 낮게 나오며 Fed 속도조절 기대,2,Minor / Local,0.43121870610974417,0.06949874233484171,0.6173146382231252,0.004577900050496677
2022-11-17,2022-11-17,달러 반등과 Fed의 추가 긴축 발언으로 금이 후퇴,1,Delayed Response,0.40964106674841166,0.0662726823634225,0.5898831694705913,0.003087780783135035
2022-12-15,2022-12-15,Fed 금리 경로 경계 속에서도 중국 리오프닝 기대,1,Delayed Response,0.40225530991321656,0.06290435470111579,0.5607616282600741,0.0009969454557716099
2022-12-20,2022-12-20,중국 리오프닝 기대,2,Minor / Local,0.39009888067525905,0.060249551083176,0.5366098227019601,0.0006069489241812054
2023-01-03,2023-01-03,중국 리오프닝과 달러 약세 기대,2,Minor / Local,0.371177689977496,0.05543776807458644,0.48344304747242384,0.01268452423342469
2023-05-11,2023-05-11,"중국 수요 둔화·미국 부채한도 불안, 생성형 AI 인프라 투자 확대 기대",2,Minor / Local,0.22096495110855557,0.026403172018863462,0.23548165174580155,0.0010206990429525568
2023-10-02,2023-10-02,파나마의 First Quantum 신규 광산계약 논의 중단,2,Minor / Local,0.3047005696751241,0.04579987292017045,0.382686695506273,0.026295433092152685
2023-10-16,2023-10-16,Geopolitical safe-haven bid,2,Minor / Local,0.41288507721473194,0.06442305868154924,0.5754132348005694,0.0007629684487451871
2024-02-15,2024-02-15,미국 인플레이션·소매판매 지표로 인해 rate cut 기대 흔들림,2,Minor / Local,0.21422538101898503,0.026699790912047924,0.21692126082815083,0.022096875253488787
2024-04-10,2024-04-10,중국 경기지표 개선과 원료 부족 우려로 강세,1,Delayed Response,0.1975513209578513,0.016466677534397275,0.1425539124929338,0.0072569200559666446
2024-04-30,2024-04-30,AI·데이터센터가 2030년까지 구리 수요를 100만 톤 추가할 수 있다는 전망,2,Minor / Local,0.23161444324229186,0.028628370572739467,0.2394652995690882,0.021466651289497853
2024-08-05,2024-08-05,미국 경기둔화·침체 우려가 촉발한 글로벌 위험자산 매도,0,Transient Shock,0.28065109332892924,0.043820296107339105,0.3214205598165828,0.07308566239668797
2024-11-06,2024-11-06,미국 대선에서 트럼프 승리가 확정,2,Minor / Local,0.33898053278899665,0.06340741327943378,0.4489202541874292,0.11987648278427111
2024-12-18,2024-12-18,Fed 정책결정 대기와 금리경로 재평가,0,Transient Shock,0.14429124697759757,0.00580629183213982,0.05003312375872865,0.002432464713628113
2025-01-13,2025-01-13,LME가 2022 니켈 위기 후 거래 회복을 확인,2,Minor / Local,0.1351333466424594,0.021012592951652927,0.04926278802909295,0.13992620952163345
2025-02-03,2025-02-03,"무역불안에 따른 금 강세, 구조적 구리 수요 테마 명확",2,Minor / Local,0.18964402305809483,0.029154453128761665,0.14850476485507655,0.11469945679168517
2025-04-03,2025-04-03,"트럼프의 공격적 관세 발표로 금은 사상 최고치, 구리는 경기둔화 우려로 약세",0,Transient Shock,0.3207070554350993,0.04303368982333983,0.3866058756984204,0.0011152001332734216
2025-04-08,2025-04-08,"미·중 무역갈등 재격화와 관세 불안, AI와 DC가 2030년까지 구리 수요를 100만 톤 추가",3,Structural Persistent,0.3036157609202697,0.043111936659273355,0.37227714997746364,0.013050515337146929
2025-07-08,2025-07-08,트럼프의 구리 50% 관세 방침 발표,3,Structural Persistent,0.3411082716033264,0.05572413726252557,0.46821223495135794,0.026415385971093025
2025-07-09,2025-07-09,트럼프의 구리 50% 관세 방침 발표,3,Structural Persistent,0.2978371065579146,0.05043946213720593,0.4198803741144214,0.02669106489340527
2025-07-31,2025-07-31,미국 정제동을 관세 대상에서 제외,0,Transient Shock,0.21851620028001564,0.019808844764049864,0.16516720511620508,0.013490401972952003
2025-09-02,2025-09-02,"금은 달러·장기금리·재정 불안 속에서 사상 최고권, 구리가 달러 약세와 중국 지표를 바탕으로 2개월 고점",1,Delayed Response,0.1582364730926922,0.016019409332778005,0.08667704521101043,0.05750686821384133
2025-11-13,2025-11-13,미국 셧다운 종료와 더 비둘기파적인 금리 기대 속 금과 은이 상승,2,Minor / Local,0.22612909790870117,0.026748120521415876,0.21983615195706968,0.021828350025917206
2025-11-17,2025-11-17,중앙은행의 지속적 금 매수 전망,1,Delayed Response,0.26239013988860627,0.03489656537468931,0.2986628455839156,0.01565395173363845
2025-11-24,2025-11-24,UBS의 구리 전망 상향,1,Delayed Response,0.2817854817119314,0.036171893232339096,0.321718178093179,0.004476718622617126
2025-12-29,2025-12-29,"금·은이 급등 후 변동성 확대, 구리는 글로벌 공급부족 우려로 15년 만의 최대 연간 상승폭",2,Minor / Local,0.27625278518990176,0.03193772527155461,0.286470727339551,0.0009812624792492827
